uid	name	q	description	common_name	last_updated	family	short_description

1260	Photinus brimleyi	provide a complete scientific and natural history summary of Photinus brimleyi, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Photinus brimleyi inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Brimley's firefly	2025-07-09 19:57:28	Lampyridae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1261	Photinus carolinus	provide a complete scientific and natural history summary of Photinus carolinus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Photinus carolinus inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Carolina firefly	2025-07-09 19:57:28	Lampyridae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1262	Photinus concisus	provide a complete scientific and natural history summary of Photinus concisus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Photinus concisus inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Concise firefly	2025-07-09 19:57:28	Lampyridae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1263	Photinus greeni	provide a complete scientific and natural history summary of Photinus greeni, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Photinus greeni inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Greene's firefly	2025-07-09 19:57:28	Lampyridae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1264	Photinus macdermotti	provide a complete scientific and natural history summary of Photinus macdermotti, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Photinus macdermotti inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Macdermott's firefly	2025-07-09 19:57:28	Lampyridae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1265	Photinus marginellus	provide a complete scientific and natural history summary of Photinus marginellus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Photinus marginellus inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Marginated firefly	2025-07-09 19:57:28	Lampyridae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1266	Photinus pyralis	provide a complete scientific and natural history summary of Photinus pyralis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Photinus pyralis inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Common eastern firefly	2025-07-09 19:57:28	Lampyridae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1267	Photinus sabulosus	provide a complete scientific and natural history summary of Photinus sabulosus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Photinus sabulosus inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Sandy firefly	2025-07-09 19:57:28	Lampyridae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1268	Photuris lucicrescens	provide a complete scientific and natural history summary of Photuris lucicrescens, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Photuris lucicrescens inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Long crescendo photuris	2025-07-09 19:57:28	Lampyridae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1269	Photuris pennsylvanica	provide a complete scientific and natural history summary of Photuris pennsylvanica, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Photuris pennsylvanica inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Pennsylvania firefly	2025-07-09 19:57:28	Lampyridae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1270	Photuris versicolor	provide a complete scientific and natural history summary of Photuris versicolor, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Photuris versicolor inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Variable flash firefly	2025-07-09 19:57:28	Lampyridae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1271	Phromnia rosea	provide a complete scientific and natural history summary of Phromnia rosea, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Phromnia rosea inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Flatid leaf bug	2025-07-09 19:57:28	Flatidae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1272	Phryganea grandis	provide a complete scientific and natural history summary of Phryganea grandis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Phryganea grandis inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Great brown sedge fly	2025-07-09 19:57:28	Phryganeidae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1273	Phrynichus scaber	provide a complete scientific and natural history summary of Phrynichus scaber, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Phrynichus scaber inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Indian whip spider	2025-07-09 19:57:28	Phrynichidae	Whip spider capturing small prey with spiny pedipalps, native to African regions.

1274	Phrynus marginemaculatus	provide a complete scientific and natural history summary of Phrynus marginemaculatus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Phrynus marginemaculatus inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Florida tailless whipscorpion	2025-07-09 19:57:28	Phrynidae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1275	Phrynus operculatus	provide a complete scientific and natural history summary of Phrynus operculatus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Phrynus operculatus inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Puerto rican tailless whipscorpion	2025-07-09 19:57:28	Phrynidae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1276	Phrynus whitei	provide a complete scientific and natural history summary of Phrynus whitei, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Phrynus whitei inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	White's tailless whipscorpion	2025-07-09 19:57:28	Phrynidae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1277	Phyllium giganteum	provide a complete scientific and natural history summary of Phyllium giganteum, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Phyllium giganteum inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Giant malaysian leaf insect	2025-07-09 19:57:28	Phylliidae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1278	Phyllium philippinicum	provide a complete scientific and natural history summary of Phyllium philippinicum, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Phyllium philippinicum inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Philippine leaf insect	2025-07-09 19:57:28	Phylliidae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1279	Phyllocoptes fructiphilus	provide a complete scientific and natural history summary of Phyllocoptes fructiphilus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Phyllocoptes fructiphilus inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Rose bud mite	2025-07-09 19:57:28	Eriophyidae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1280	Phyllocrania paradoxa	provide a complete scientific and natural history summary of Phyllocrania paradoxa, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Phyllocrania paradoxa inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Ghost mantis	2025-07-09 19:57:28	Hymenopodidae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1282	Phyllophorina kotoshoensis	provide a complete scientific and natural history summary of Phyllophorina kotoshoensis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Phyllophorina kotoshoensis inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Lanyu Giant Katydid	2025-07-09 19:57:28	Tettigoniidae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1283	Phytocoris tiliae	provide a complete scientific and natural history summary of Phytocoris tiliae, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Phytocoris tiliae inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Lime plant bug	2025-07-09 19:57:28	Miridae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1284	Pieris brassicae	provide a complete scientific and natural history summary of Pieris brassicae, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Pieris brassicae inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Large white butterfly	2026-03-05 22:10:20	Pieridae	Common European butterfly whose larvae are significant pests of brassica crops; white wings with black tips.

1285	Piona carnea	provide a complete scientific and natural history summary of Piona carnea, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Piona carnea inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Pink pionid mite	2025-07-09 19:57:28	Pionidae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1286	Pisaura mirabilis	provide a complete scientific and natural history summary of Pisaura mirabilis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Pisaura mirabilis inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Nursery web spider	2025-07-09 19:57:28	Pisauridae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1287	Pissodes strobi	provide a complete scientific and natural history summary of Pissodes strobi, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Pissodes strobi inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	White pine weevil	2025-07-09 19:57:28	Curculionidae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1288	Pityogenes chalcographus	provide a complete scientific and natural history summary of Pityogenes chalcographus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Pityogenes chalcographus inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Six toothed spruce bark beetle	2025-07-09 19:57:28	Curculionidae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1289	Platyarthrus hoffmannseggii	provide a complete scientific and natural history summary of Platyarthrus hoffmannseggii, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Platyarthrus hoffmannseggii inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Hoffmannsegg's platyarthrus	2025-07-09 19:57:28	Platyarthridae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1290	Platycerus caraboides	provide a complete scientific and natural history summary of Platycerus caraboides, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Platycerus caraboides inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Caraboides stag beetle	2025-07-09 19:57:28	Lucanidae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1291	Platycheirus albimanus	provide a complete scientific and natural history summary of Platycheirus albimanus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Platycheirus albimanus inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	White footed hoverfly	2025-07-09 19:57:28	Syrphidae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1292	Platycnemis pennipes	provide a complete scientific and natural history summary of Platycnemis pennipes, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Platycnemis pennipes inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	White legged damselfly	2025-07-09 19:57:28	Platycnemididae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1293	Platydracus stercorarius	provide a complete scientific and natural history summary of Platydracus stercorarius, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Platydracus stercorarius inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Dung rove beetle	2025-07-09 19:57:28	Staphylinidae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1294	Platygerris assimetricus	provide a complete scientific and natural history summary of Platygerris assimetricus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Platygerris assimetricus inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Costa rican water strider	2025-07-09 19:57:28	Gerridae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1295	Platymeris biguttatus	provide a complete scientific and natural history summary of Platymeris biguttatus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Platymeris biguttatus inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Big spotted assassin bug	2025-07-09 19:57:28	Reduviidae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1296	Platyneuromus soror	provide a complete scientific and natural history summary of Platyneuromus soror, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Platyneuromus soror inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Central american dobsonfly	2025-07-09 19:57:28	Corydalidae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1297	Platypleura divisa	provide a complete scientific and natural history summary of Platypleura divisa, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Platypleura divisa inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Centrestripe orangewing cicada	2025-07-09 19:57:28	Cicadidae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1298	Plectrocnemia conspersa	provide a complete scientific and natural history summary of Plectrocnemia conspersa, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Plectrocnemia conspersa inhabits freshwater environments and is often found under rocks or in leaf litter. It exhibits nocturnal behavior and feeds primarily on detritus and small invertebrates. Its segmented body and jointed appendages aid in burrowing and foraging.	Brown caddisfly	2025-07-09 19:57:28	Polycentropodidae	Inhabits freshwater environments and is often found under rocks or in leaf litter

1299	Plutella xylostella	provide a complete scientific and natural history summary of Plutella xylostella, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Plutella xylostella, commonly known as the diamondback moth, is a global pest of cruciferous crops in the family plutellidae. It is small, grayish-brown, and named for the diamond-shaped pattern formed by its folded wings. Larvae feed on the leaves of plants in the brassicaceae family, causing serious agricultural damage. The moth is highly migratory and has developed resistance to many insecticides. Its life cycle includes egg, larva, pupa, and adult stages, with multiple generations per year. Plutella xylostella is intensively studied in pest management and biological control programs.	Diamondback moth	2025-07-09 19:57:28	Plutellidae	Commonly known as the diamondback moth, is a global pest of cruciferous crops in the family Plutellidae

1300	Pochazia shantungensis	provide a complete scientific and natural history summary of Pochazia shantungensis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Pochazia shantungensis is a planthopper in the family ricaniidae, native to east asia and invasive in parts of europe. It feeds on plant sap using piercing-sucking mouthparts and is known to affect fruit trees and ornamental plants. Adults are black with translucent wings featuring white spots, and nymphs are waxy and spiny. The species reproduces rapidly and lays eggs in slits cut into plant tissue. Pochazia shantungensis has been studied for its impact on horticulture and its potential spread through global trade.	Brown winged cicada	2025-07-09 19:57:28	Ricaniidae	Planthopper in the family Ricaniidae, native to East Asia and invasive in parts of Europe

1301	Podisus maculiventris	provide a complete scientific and natural history summary of Podisus maculiventris, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Podisus maculiventris, the spined soldier bug, is a predatory stink bug in the family pentatomidae, native to north america. It is recognized by its brown body with spiny shoulders and predatory beak. Both nymphs and adults prey on caterpillars, beetle larvae, and other soft-bodied insects, making it valuable in biological pest control. It occurs in forests, gardens, and agricultural fields. The species reproduces sexually, with eggs laid in clusters and nymphs undergoing several molts. Podisus maculiventris is used in integrated pest management as a natural enemy of crop pests.	Spined soldier bug	2025-07-09 19:57:28	Pentatomidae	The spined soldier bug, is a predatory stink bug in the family Pentatomidae, native to North America

1302	Podocampa fragilis	provide a complete scientific and natural history summary of Podocampa fragilis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Podocampa fragilis is a dipluran in the family campodeidae, typically found in moist soil, leaf litter, and caves. It has a slender, eyeless, and unpigmented body adapted to life in dark environments. It feeds on decaying organic matter, fungal spores, and microorganisms, playing a role in decomposition. Podocampa fragilis reproduces through indirect fertilization and exhibits ametabolous development. Its presence is indicative of stable, undisturbed soil ecosystems, and it is used in studies of subterranean biodiversity.	Fragile dipluran	2026-03-05 22:10:58	Campodeidae	Dipluran in the family Campodeidae, typically found in moist soil, leaf litter, and caves

1303	Poecilotheria regalis	provide a complete scientific and natural history summary of Poecilotheria regalis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Poecilotheria regalis, commonly known as the indian ornamental tarantula, is a large, arboreal spider in the family theraphosidae. It is native to southeastern india, where it inhabits tree hollows and bark crevices. The spider has striking black and white markings on its legs and a yellow underside. It is a fast, defensive species that feeds on insects and small vertebrates. Poecilotheria regalis is popular in the pet trade and studied for its venom and unique behavior. It plays a role in controlling insect populations in its native habitat.	Indian ornamental tarantula	2025-07-09 19:57:28	Theraphosidae	Commonly known as the Indian ornamental tarantula, is a large, arboreal spider in the family Theraphosidae

1304	Poecilus cupreus	provide a complete scientific and natural history summary of Poecilus cupreus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Poecilus cupreus is a ground beetle in the family carabidae, widely distributed across europe and parts of asia. It is metallic green or bronze, with long legs and well-developed mandibles adapted for predation. It inhabits open habitats like grasslands, agricultural fields, and roadside verges, often sheltering under stones or vegetation. Adults and larvae are both predatory, feeding on slugs, insect larvae, and other invertebrates. It is a beneficial insect for natural pest control in agroecosystems. Poecilus cupreus is active mainly at night and overwinters as an adult, emerging in spring to reproduce.	Common copper ground beetle	2025-07-09 19:57:28	Carabidae	Ground beetle in the family Carabidae, widely distributed across Europe and parts of Asia

1305	Poekilloptera phalaenoides	provide a complete scientific and natural history summary of Poekilloptera phalaenoides, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Poekilloptera phalaenoides is a planthopper species in the family flatidae, found in tropical and subtropical regions of the americas. It has broad, leaf-like wings that help it blend into foliage, and adults are often mistaken for moths due to their wing shape and posture. It feeds on plant sap using piercing-sucking mouthparts and may be found on shrubs, trees, or agricultural crops. Nymphs are covered in waxy filaments and are gregarious. While generally not a major pest, high densities can affect plant vigor. Poekilloptera phalaenoides is studied for its mimicry and communication behaviors.	Moth mimic planthopper	2025-07-09 19:57:28	Flatidae	It has broad, leaf-like wings that help it blend into foliage, and adults are often mistaken for moths due to their wing shape and posture.

1306	Pogonognathellus longicornis	provide a complete scientific and natural history summary of Pogonognathellus longicornis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Pogonognathellus longicornis is a springtail species in the family tomoceridae, found in leaf litter and rotting wood in temperate forests of europe. It is distinguished by its extremely long antennae and body covered with fine scales. It moves by jumping with a forked appendage called a furcula, which it tucks under its body and snaps downward for propulsion. It feeds on decaying organic material, fungi, and algae, contributing to nutrient cycling and soil health. Pogonognathellus longicornis is sensitive to desiccation and pollution and is considered a bioindicator of forest ecosystem quality.	Longhorn springtail	2025-07-09 19:57:28	Tomoceridae	Springtail species in the family Tomoceridae, found in leaf litter and rotting wood in temperate forests of Europe

1307	Polistes fuscatus	provide a complete scientific and natural history summary of Polistes fuscatus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Polistes fuscatus, the northern paper wasp, is a social wasp in the family vespidae, found across eastern north america. It builds open paper nests under eaves, tree branches, or other sheltered structures. Colonies are founded by one or more queens in spring and grow through the summer. Workers forage for nectar and prey on caterpillars and other soft-bodied insects. It plays a role in pollination and natural pest control. Polistes fuscatus is also studied for its complex social behavior and individual recognition among colony members.	Northern paper wasp	2025-07-09 19:57:28	Vespidae	The northern paper wasp, is a social wasp in the family Vespidae, found across eastern North America

1308	Polybia paulista	provide a complete scientific and natural history summary of Polybia paulista, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Polybia paulista is a eusocial wasp species in the family vespidae, found in south america, especially brazil. It forms large colonies in enclosed paper nests, often suspended from trees or buildings. Workers defend the nest aggressively and can deliver painful stings. It feeds on nectar and preys on insects, including crop pests. Polybia paulista venom is under study for its potential therapeutic applications, including cancer treatment. The species is both ecologically significant and medically relevant due to its social behavior and venom chemistry.	Brazilian paper wasp	2025-07-09 19:57:28	Vespidae	Eusocial wasp species in the family Vespidae, found in South America, especially Brazil

